Traduzido Patch 1.1(Em Revisão) - Usar Este	
[~NAMES-INCLUDED~]//Don't edit or remove this line.	[~NAMES-INCLUDED~]//Don't edit or remove this line.
A9D143C04A9C9C969CFFC29FAB523A78=ELE SALVOU A TERRA	A9D143C04A9C9C969CFFC29FAB523A78= HE SAVED THE EARTH
"56791645476E9AD460BF01A51AA78E11=Em vez de comprar isso, que tal você pegar uma cópia de ""No Logo"" de Naomi Klein e se libertar do fetichismo de mercadorias."	"56791645476E9AD460BF01A51AA78E11= Instead of buying this, how about you pick up a copy of Naomi Klein's ""No Logo"" and free yourself from commodity fetishism."
4D411C174092D183E941998D5A9522AC= O ESPAÇO SIDERAL	4D411C174092D183E941998D5A9522AC= OUTER SPACE
"1E11AD5648020319C4559C8BDEE358C0=""Caçar recompensas nunca foi tão fácil* ou seguro**, graças ao seu fiel traje de recompensas!<cf><cf><cf><cf>*A caça de recompensas ainda é extremamente difícil.<cf>**A caça de recompensas é ainda extremamente perigoso."""	"1E11AD5648020319C4559C8BDEE358C0=""Bounty hunting has never been easier* or safer**, thanks to your trusty bounty suit!<cf><cf><cf><cf>*Bounty hunting is still extremely difficult.<cf>**Bounty hunting is still extremely dangerous."""
"D8AC9E5B4951CA99F9E1CA90F71DAA5F=""Olá pessoal, estou de volta. Talvez pensem duas vezes antes de tentar banir um especialista em tecnologia que trabalhou com um gênio como o Dr. Gurgul... que é do mal por sinal. Ele trabalhou com o G3 e tem sequestrado alienígenas de toda a galáxia para fazer experimentos malignos malucos neles!!!!! Vão me ouvir ou vão se esconder da verdade!!!!! COVARDES!!!!![ESTE USUÁRIO FOI BANIDO POR ESTE POST]"""	"D8AC9E5B4951CA99F9E1CA90F71DAA5F=""Hey everyone I'm back. Maybe think twice about trying to ban a tech expert who has worked with a genius like Dr. Gurgula... who is evil by the way. He worked with the G3 and has been kidnapping aliens from all over the galaxy to do crazy evil experiments on them!!!!! Are you going to listen to me or are you going to put your hide from the truth!!!!! COWARDS!!!!![THIS USER HAS BEEN BANNED FOR THIS POST]"""
"80949B274A8C9C7BE19584B93A842348=""Senhor_Merdinha"""	"80949B274A8C9C7BE19584B93A842348=""Mister_Shit"""
"2BF9EB014B113DAE7944268A37143515=""Boa tentativa filhos da puta. Olha eu sou o CARA BOM aqui!!! Estou tentando avisar a todos vocês!!! Contem a todos!!!! DR. GURGULA É DO MAL!!!!![ESTE USUÁRIO FOI BANIDO POR ESTE POST]"""	"2BF9EB014B113DAE7944268A37143515=""Nice try fuckers. Look I'm the GOOD GUY here!!! I'm trying to warn you all!!! Tell everyone!!!! DR. GURGULA IS EVIL!!!!![THIS USER HAS BEEN BANNED FOR THIS POST]"""
"FCA50E0C4618B39050DA3C9916C79765=""Por favor, não me mate! Não sei o que fiz de errado."""	"FCA50E0C4618B39050DA3C9916C79765=""Please don't kill me! I don't know what I did wrong."""
"9CE7175442F7505F3C43098EF22D770B=""Deveria ter aprendido a contar mais alto filho da puta!!!![ESTE USUÁRIO FOI BANIDO POR ESTE POST]"""	"9CE7175442F7505F3C43098EF22D770B=""Should have learned to count higher fucker!!!![THIS USER HAS BEEN BANNED FOR THIS POST]"""
"4C74AE1540D79326CA315A9E49367739=""Onde a mágica acontece"""	"4C74AE1540D79326CA315A9E49367739=""Where The Magic Happens"""
8915C29A41ACDF1E433AE0B05909FB21=$999	8915C29A41ACDF1E433AE0B05909FB21=$999
CBB7D477486E9D9E86831EAB5B3A4332='Michael Taint' disse que você sabia de algo	CBB7D477486E9D9E86831EAB5B3A4332='Michael Taint' said you knew something
37417C664701913B60939BBD0D5B59B2=(Toque) Pular<cf>(Segure) Mochila a Jato	37417C664701913B60939BBD0D5B59B2=(Tap) Jump<cf>(Hold) Jetpack
5FA325E64A8A3EFF71289D94CC61E940=(Toque) Próxima Arma<cf>(Segure) Roda de Armas	5FA325E64A8A3EFF71289D94CC61E940=(Tap) Next Weapon<cf>(Hold) Weapon Wheel
6793AB304B3DDFA6392A2FB9D709DFFB=** MENSAGEM DE VOZ RECEBIDA **	6793AB304B3DDFA6392A2FB9D709DFFB=** INCOMING VOICE MESSAGE **
A135AC4545E3B62533C5E7B99F46B160=***** Regras: Leia antes de postar *****	A135AC4545E3B62533C5E7B99F46B160=***** Rules: Read before posting *****
6A388CCD45AE61EDB3E5A3AD5B962064=***Você não vai acreditar no que Clugg Nuggman fez para se tornar MAGISTRADO!***	6A388CCD45AE61EDB3E5A3AD5B962064=***You won't believe what Clugg Nuggman did to become MAGISTRATE!***
466972234A383EA722B9099B9F25DA76=- esse cara	466972234A383EA722B9099B9F25DA76=- this guy
F29777A44FD1220929D374805C0814F2=-PAUSADO-	F29777A44FD1220929D374805C0814F2=-PAUSED-
3D52ADFC46438700E61A359FB58DDAA5=....	3D52ADFC46438700E61A359FB58DDAA5=....
37CE7FEC42494E82373CF391DABE9539=...nós sabíamos que ele é o que	37CE7FEC42494E82373CF391DABE9539=...did we know he's what
4A61770D4F1A457ACE797FA85E12F124=3	4A61770D4F1A457ACE797FA85E12F124=1
7A0346B64E0D18D25872378633E7299F=15 Pontos de Prata!	7A0346B64E0D18D25872378633E7299F=15 Silver Points!
D34B90864495501CCE9FF0BADB8C3240=180 Garoto Solitário	D34B90864495501CCE9FF0BADB8C3240=180 Lonelyboy
37EDE2F043620B64ECA228B537D4FB86=Segundo Lugar Troféus Científicos	37EDE2F043620B64ECA228B537D4FB86=2nd Place Science Trophies
C4A19DB945E4391C3F1E3EB3FCD4539D=360 Wally Gator	C4A19DB945E4391C3F1E3EB3FCD4539D=360 Wally Gator
F16ED52447D47C5A6CB24D85A82938E9=5-Torg	F16ED52447D47C5A6CB24D85A82938E9=5-Torg
E350DFD64F656CD952E077B082531AB1=73	E350DFD64F656CD952E077B082531AB1=71
2E71DAC6414BBFB9A1A595BD3CBB0F19=9-Torg	2E71DAC6414BBFB9A1A595BD3CBB0F19=9-Torg
8B57475C4C0CAD1BD3D1498701B1EA5C=Mandíbula de 9-Torg	8B57475C4C0CAD1BD3D1498701B1EA5C=9-Torg's Mandible
34B719D949CA4A4164470F808936D110=:(	34B719D949CA4A4164470F808936D110=:(
DDFB42484AE7C7CEBC1038A28DAD2631=:( você está bem @Brainprisoner :(	DDFB42484AE7C7CEBC1038A28DAD2631=:( are you ok @Brainprisoner :(
"02A90AD04B133C9AD0065481E9BF9BDE=<bind id=""SecondaryFire""/> e segure <bind id=""Fire""/> para lançar um dos filhos do Creature em ninhos de amarras"	"02A90AD04B133C9AD0065481E9BF9BDE=<bind id=""SecondaryFire""/> then hold <bind id=""Fire""/> to launch one of Creature's children into tether nests"
"B34D2E7D469ADA7A520535A3F81AF69C=<bind id=""WeaponAbility""/>"	"B34D2E7D469ADA7A520535A3F81AF69C=<bind id=""WeaponAbility""/>"
DF467F4B4D5D1FD045E6CE80DEE0EAAE=???	DF467F4B4D5D1FD045E6CE80DEE0EAAE=???
CC2EDA3B4EE6D0A584F7EC85BF7956A2=@BlimCityBomba Não poste o vídeo de sexo de klazad como forma de comprar ele. Este é seu Aviso Final.	CC2EDA3B4EE6D0A584F7EC85BF7956A2=@BlimCityBomba Don't post klazad's sex tape as a way to own him. Final warning.
109286EB45152E2E187F47A7FDA83123=@Brainprisoner uau, isso parece incrível!	109286EB45152E2E187F47A7FDA83123=@Brainprisoner wow that sounds awesome!
